date,cash_type,money,coffee_name,year,month,day
2024-03-01,card,38.7,Latte,2024,3,1
2024-03-01,card,38.7,Hot Chocolate,2024,3,1
2024-03-01,card,38.7,Hot Chocolate,2024,3,1
2024-03-01,card,28.9,Americano,2024,3,1
2024-03-01,card,38.7,Latte,2024,3,1
2024-03-01,card,33.8,Americano with Milk,2024,3,1
2024-03-01,card,38.7,Hot Chocolate,2024,3,1
2024-03-01,card,33.8,Americano with Milk,2024,3,1
2024-03-01,card,38.7,Cocoa,2024,3,1
2024-03-01,card,33.8,Americano with Milk,2024,3,1
2024-03-01,card,33.8,Americano with Milk,2024,3,1
2024-03-02,card,28.9,Americano,2024,3,2
2024-03-02,cash,40.0,Latte,2024,3,2
2024-03-02,card,33.8,Americano with Milk,2024,3,2
2024-03-02,card,33.8,Americano with Milk,2024,3,2
2024-03-02,card,28.9,Americano,2024,3,2
2024-03-02,card,33.8,Americano with Milk,2024,3,2
2024-03-02,card,28.9,Americano,2024,3,2
2024-03-03,cash,40.0,Latte,2024,3,3
2024-03-03,card,38.7,Latte,2024,3,3
2024-03-03,card,28.9,Cortado,2024,3,3
2024-03-03,card,28.9,Americano,2024,3,3
2024-03-03,card,38.7,Hot Chocolate,2024,3,3
2024-03-03,card,38.7,Cocoa,2024,3,3
2024-03-03,card,28.9,Cortado,2024,3,3
2024-03-03,card,33.8,Americano with Milk,2024,3,3
2024-03-03,card,33.8,Americano with Milk,2024,3,3
2024-03-03,card,38.7,Hot Chocolate,2024,3,3
2024-03-04,card,38.7,Latte,2024,3,4
2024-03-04,card,38.7,Latte,2024,3,4
2024-03-04,card,33.8,Americano with Milk,2024,3,4
2024-03-04,card,24.0,Espresso,2024,3,4
2024-03-05,card,38.7,Latte,2024,3,5
2024-03-05,card,38.7,Latte,2024,3,5
2024-03-05,card,38.7,Latte,2024,3,5
2024-03-05,card,38.7,Hot Chocolate,2024,3,5
2024-03-05,card,38.7,Cocoa,2024,3,5
2024-03-05,card,38.7,Hot Chocolate,2024,3,5
2024-03-05,card,38.7,Hot Chocolate,2024,3,5
2024-03-05,card,28.9,Cortado,2024,3,5
2024-03-05,card,38.7,Hot Chocolate,2024,3,5
2024-03-06,cash,35.0,Americano with Milk,2024,3,6
2024-03-06,card,28.9,Americano,2024,3,6
2024-03-06,card,28.9,Cortado,2024,3,6
2024-03-06,card,38.7,Cappuccino,2024,3,6
2024-03-06,card,38.7,Cappuccino,2024,3,6
2024-03-07,cash,40.0,Latte,2024,3,7
2024-03-07,card,38.7,Hot Chocolate,2024,3,7
2024-03-07,card,38.7,Latte,2024,3,7
2024-03-07,cash,40.0,Latte,2024,3,7
2024-03-07,card,28.9,Americano,2024,3,7
2024-03-07,card,33.8,Americano with Milk,2024,3,7
2024-03-08,card,28.9,Cortado,2024,3,8
2024-03-08,card,38.7,Cappuccino,2024,3,8
2024-03-08,card,28.9,Americano,2024,3,8
2024-03-08,card,28.9,Americano,2024,3,8
2024-03-08,card,28.9,Americano,2024,3,8
2024-03-08,card,33.8,Americano with Milk,2024,3,8
2024-03-08,card,38.7,Latte,2024,3,8
2024-03-08,card,38.7,Latte,2024,3,8
2024-03-09,cash,40.0,Hot Chocolate,2024,3,9
2024-03-09,card,24.0,Espresso,2024,3,9
2024-03-09,card,28.9,Americano,2024,3,9
2024-03-09,card,38.7,Cappuccino,2024,3,9
2024-03-09,card,28.9,Americano,2024,3,9
2024-03-09,card,28.9,Americano,2024,3,9
2024-03-09,card,38.7,Latte,2024,3,9
2024-03-09,card,33.8,Americano with Milk,2024,3,9
2024-03-09,card,28.9,Cortado,2024,3,9
2024-03-09,card,38.7,Cappuccino,2024,3,9
2024-03-09,card,33.8,Americano with Milk,2024,3,9
2024-03-09,card,38.7,Hot Chocolate,2024,3,9
2024-03-09,card,38.7,Cappuccino,2024,3,9
2024-03-09,card,38.7,Hot Chocolate,2024,3,9
2024-03-10,cash,30.0,Americano,2024,3,10
2024-03-10,cash,35.0,Americano with Milk,2024,3,10
2024-03-10,cash,40.0,Latte,2024,3,10
2024-03-10,card,24.0,Espresso,2024,3,10
2024-03-10,cash,35.0,Americano with Milk,2024,3,10
2024-03-10,card,38.7,Latte,2024,3,10
2024-03-10,card,28.9,Cortado,2024,3,10
2024-03-11,cash,40.0,Latte,2024,3,11
2024-03-11,cash,40.0,Cappuccino,2024,3,11
2024-03-11,cash,30.0,Cortado,2024,3,11
2024-03-11,cash,30.0,Americano,2024,3,11
2024-03-11,card,38.7,Cappuccino,2024,3,11
2024-03-11,card,28.9,Americano,2024,3,11
